,7 Low_beta,7 High_beta,7 Alpha,7 Theta,7 Gamma,8 Low_beta,8 High_beta,8 Alpha,8 Theta,8 Gamma,9 Low_beta,9 High_beta,9 Alpha,9 Theta,9 Gamma,10 Low_beta,10 High_beta,10 Alpha,10 Theta,10 Gamma,11 Low_beta,11 High_beta,11 Alpha,11 Theta,11 Gamma,12 Low_beta,12 High_beta,12 Alpha,12 Theta,12 Gamma,Label
188,0.489934908236,0.288851496999,0.746398655096,1.97609538034,0.204299521502,0.316221141185,0.24998141258,0.543266678152,1.52998174134,0.0993565819012,0.224109236618,0.0974424585304,0.138072999673,0.79118287374,0.0724703828824,1.32715614529,0.368115253372,1.42123276642,3.84891260411,0.15984768241,0.768071539095,0.219178213042,0.949941231492,2.27918313756,0.16468833045,1.09492232804,0.583264939129,1.27724632694,2.82265584514,0.72193484252,1
189,0.489934908236,0.288851496999,0.746398655096,1.97609538034,0.204299521502,0.316221141185,0.24998141258,0.543266678152,1.52998174134,0.0993565819012,0.224109236618,0.0974424585304,0.138072999673,0.79118287374,0.0724703828824,1.32715614529,0.368115253372,1.42123276642,3.84891260411,0.15984768241,0.768071539095,0.219178213042,0.949941231492,2.27918313756,0.16468833045,1.09492232804,0.583264939129,1.27724632694,2.82265584514,0.72193484252,1
190,0.489934908236,0.288851496999,0.746398655096,1.97609538034,0.204299521502,0.316221141185,0.24998141258,0.543266678152,1.52998174134,0.0993565819012,0.224109236618,0.0974424585304,0.138072999673,0.79118287374,0.0724703828824,1.32715614529,0.368115253372,1.42123276642,3.84891260411,0.15984768241,0.768071539095,0.219178213042,0.949941231492,2.27918313756,0.16468833045,1.09492232804,0.583264939129,1.27724632694,2.82265584514,0.72193484252,1
191,0.309933621464,0.46765206665,0.867431418473,2.10471658027,0.37581810594,0.155650336668,0.297613383312,0.408686994817,1.74218413949,0.109743409618,0.258074285805,0.111703305133,0.119367459264,0.807505610066,0.0556496543759,1.10309461605,0.507125686665,1.47895198493,3.35099774587,0.179218934891,0.450123009094,0.237462058367,0.758417690761,2.22922137056,0.129238476513,0.608579516756,0.434897693181,1.06254823621,3.49616494681,0.560492255911,1
192,0.309933621464,0.46765206665,0.867431418473,2.10471658027,0.37581810594,0.155650336668,0.297613383312,0.408686994817,1.74218413949,0.109743409618,0.258074285805,0.111703305133,0.119367459264,0.807505610066,0.0556496543759,1.10309461605,0.507125686665,1.47895198493,3.35099774587,0.179218934891,0.450123009094,0.237462058367,0.758417690761,2.22922137056,0.129238476513,0.608579516756,0.434897693181,1.06254823621,3.49616494681,0.560492255911,1
193,0.309933621464,0.46765206665,0.867431418473,2.10471658027,0.37581810594,0.155650336668,0.297613383312,0.408686994817,1.74218413949,0.109743409618,0.258074285805,0.111703305133,0.119367459264,0.807505610066,0.0556496543759,1.10309461605,0.507125686665,1.47895198493,3.35099774587,0.179218934891,0.450123009094,0.237462058367,0.758417690761,2.22922137056,0.129238476513,0.608579516756,0.434897693181,1.06254823621,3.49616494681,0.560492255911,1
194,0.309933621464,0.46765206665,0.867431418473,2.10471658027,0.37581810594,0.155650336668,0.297613383312,0.408686994817,1.74218413949,0.109743409618,0.258074285805,0.111703305133,0.119367459264,0.807505610066,0.0556496543759,1.10309461605,0.507125686665,1.47895198493,3.35099774587,0.179218934891,0.450123009094,0.237462058367,0.758417690761,2.22922137056,0.129238476513,0.608579516756,0.434897693181,1.06254823621,3.49616494681,0.560492255911,1
195,0.287781555256,0.505533746217,0.584271866205,1.30733381412,0.45404203476,0.112652601379,0.24825091158,0.225221236077,1.35580334948,0.116373966928,0.156398733773,0.0898477146279,0.26443295651,1.11708446285,0.0558775000148,1.32543381674,0.76793966905,1.13429335224,1.63285881249,0.237040647055,0.362783710716,0.410511756695,0.593317366245,1.85135347214,0.121437986982,0.308939434384,0.766312663477,0.961414939258,3.32735844125,0.788169218431,1
196,0.338286848177,0.223469580954,0.438486749873,0.749102241842,0.334211780702,0.143355326098,0.167713061659,0.234843689268,0.618099831301,0.0991481779499,0.0714281195694,0.0743896001823,0.283842974035,0.573621061109,0.0527835650982,0.838692308026,0.67322209768,0.589584348092,2.00596171962,0.215206294453,0.25062005783,0.506988431535,0.344157034475,1.60577919545,0.133032516722,0.441268047181,1.00185235567,0.536781394494,2.11607066938,0.722007031049,1
197,0.26339423249,0.235354964627,0.393094381367,1.07637555913,0.36625425565,0.265544857315,0.172174405379,0.231601227369,0.836591683428,0.103466009607,0.170049571276,0.126167476916,0.197817860907,0.339048263054,0.0929010162634,1.04850262364,0.594315030468,0.702324106562,2.58754005755,0.175881401444,0.544284503551,0.241764836584,0.411685890496,1.84344449423,0.133559205696,1.04887830857,0.789962274877,0.740323673757,1.51668112482,0.771903384539,1
0,13.2474176569,6.82405926089,25.7607917635,73.1942157631,3.13140497226,16.7902744159,8.52369699708,31.4994535121,92.2773134812,3.58810863732,18.5867799417,9.10667070912,34.3799864183,96.873107989,3.70689745644,16.4779157416,8.07937649222,63.2069539675,87.3613788111,3.48546199325,16.5327801695,8.59228819863,33.3336183013,92.0747347004,3.60961518491,20.308399088,10.82618479,38.8348694971,114.303113387,4.55959543462,2
1,13.2474176569,6.82405926089,25.7607917635,73.1942157631,3.13140497226,16.7902744159,8.52369699708,31.4994535121,92.2773134812,3.58810863732,18.5867799417,9.10667070912,34.3799864183,96.873107989,3.70689745644,16.4779157416,8.07937649222,63.2069539675,87.3613788111,3.48546199325,16.5327801695,8.59228819863,33.3336183013,92.0747347004,3.60961518491,20.308399088,10.82618479,38.8348694971,114.303113387,4.55959543462,2
2,0.153354101053,0.185346365478,0.222177565084,0.292279649305,0.248512100428,0.308240418221,0.137663023889,0.65057647703,0.922673729387,0.162108341564,0.600264130957,0.242962263946,1.81745305148,0.529597764146,0.0899125300276,1.9740449418,0.515198350192,21.7778490767,1.79322180357,0.194987557852,0.229729479629,0.255285679221,1.70596059266,0.439611603688,0.129675807356,0.312084567963,0.578611077698,0.545641652093,0.936930050731,0.423356683331,2
